customer_id,name,email,phone_number,city,registration_date
FRFO0VT6,Marisa Gilbert,marisagilbert279@yahoo.co,302-799-5151,Sarahburgh,2020-10-26
HG9BLIB9,Robert Torres,roberttorres@outlook.com,813-438-2703,East Jacquelinetown,2025-03-21
ALG28FKM,Katherine Garza,katherinegarza@yahoo.us,594-454-7459,Port Mark,2024-12-18
E3OFI15N,Christine Brown,christinebrown403@hotmail.com,+133-096-73704,New Nathanstad,2021-05-30
VEB3AX1W,Johnny Smith,johnnysmith@yahoo.us,+158-480-11856,kaylastad,2023-07-14
SE0A7FF5,Michael Mitchell,michaelmitchell@gmail.co,515-859-9091,South Jenniferborough,2022-08-03
EYXQOIX4,David Williams,davidwilliams577@hotmail10.co,891-901-7069,South Danielleborough,2025-03-09
JIN959S8,Brandy Burton,brandyburton@yahoo.net,847-845-1407,Leslieport,2022-11-24
N93YJ6CO,Brandon Johnson,brandonjohnson@gmail.com,325-180-5479,Wyattville,2025-07-27
UDYPJCL4,Justin Henson,justinhenson@hotmail14.com,466-614-1839,Port Michael,2021-09-01
X132Q50Z,Raymond Davis,,799-249-4000,West Briannastad,2022-01-25
3LESVCCU,David Collins,davidcollins598@hotmail.org,331-249-3571,Kristenmouth,2022-11-10
LVQPLR0F,Sheila Scott,,934-911-1641,South Donaldview,2025-02-10
UIBITBBW,Erika Strong,erikastrong216@outlook.us,884-427-4637,Amandahaven,2022-10-22
2V796URR,Debra Cowan,,+121-659-47467,Tiffanybury,2020-12-03
EC3EE99Q,Timothy Coleman,timothycoleman@example.us,854-812-2875,Marybury,2022-07-31
3DHEN3XS,April Brown,aprilbrown748@gmail.us,+134-369-41561,Lawrencebury,2022-08-26
HR2VBOTX,Morgan Waters,morganwaters@example.co,769-157-3959,Jacobborough,2022-10-15
8YG4YRTX,Brian Owens,brianowens364@example.org,300-858-6267,New Jessicaview,2022-01-08
M7EO18O0,Kelly Henderson,kellyhenderson@yahoo.net,459-539-2836,Seanchester,2023-02-26
L6XTX854,Steven Scott,stevenscott@hotmail.org,324-722-3963,Kimberlyport,2022-11-16
8WIL077F,Michael Tucker,michaeltucker@gmail.co,NONE,Tylerburgh,2023-06-07
8DZL6T68,Anna Clark,annaclark902@outlook.org,226-891-5174,Adrianfurt,2024-12-26
6PQ1J8I5,Michelle Buckley,michellebuckley@example.com,673-841-1054,South Randall,2021-02-24
979J6BL6,Brooke Evans,brookeevans395@example.com,NONE,Lisamouth,2024-03-24
V71L4HIL,Curtis Mullins,curtismullins@hotmail.com,406-998-5298,Veronicachester,2023-06-26
NHZHNLRT,Elizabeth Guerra,elizabethguerra@gmail.us,388-383-6832,new thomasville,2022-12-05
CBYX7L6Y,Daniel Powell,danielpowell125@example14.us,935-476-4551,South Jennifer,2024-12-22
02WZT1SM,Malik Green,malikgreen@hotmail.co,+130-339-33947,Lake Derek,2021-12-20
C4B4MVXE,Ashley Combs,ashleycombs@outlook.net,+156-312-89383,West Rebeccashire,2023-03-05
G7E5OWSY,Daniel Fox,danielfox@gmail.us,778-201-9660,West Christopher,2021-04-21
VR79Q35E,Charles Whitaker,charleswhitaker@example.us,646-223-3870,South Tyler,2022-12-14
U77SL41Q,Kiara Bray,kiarabray@yahoo.co,258-324-2244,Lake Angela,2022-09-25
WDH2JGHK,Kristie Stewart,kristiestewart93@example.org,854-624-2645,Port Jacobmouth,2023-04-29
G7VHEF87,Nancy Reed,nancyreed@yahoo.com,212-657-2904,Lake Mike,2022-11-10
A1142IFJ,Emma Brown,emmabrown288@hotmail.com,279-868-9151,North Stephen,2023-07-29
2LDD3C6S,Timothy Thomas,timothythomas@outlook.com,659-224-6157,Port Derekshire,2024-09-27
HC26ESUL,Randy Thompson,randythompson@gmail.org,623-530-1871,east patricia,2023-03-18
9YSOD3BA,Phillip Rivera,philliprivera@outlook.net,624-961-3869,East Diane,2021-06-07
GKGN1BP6,Tanya Murphy,,515-279-7501,port nathanielbury,2025-03-17
PQ5XQQ1X,Michael Mcpherson,michaelmcpherson607@example13.org,106-683-5751,North Jennifer,2025-03-30
UTW2X6L6,Lauren Smith,laurensmith@example1.com,+122-355-58046,Adamsport,
